id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2818,13495,11233,1,0,7528,1,49,2,30,1.0,1.0,2,14,14,52.36575,4.94142,27,2,2,1.5,1.0,2.0,26,59.0,3,1125,0,0,0,0,0,278,6,0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,0,1,0,1.98
20168,15916,275,4,10,87,1,49,2,27,2.0,2.0,2,4,4,52.36424,4.89396,47,2,2,1.0,1.0,1.0,17,236.0,1,365,0,0,0,0,0,340,48,0,89.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0,2,0,2.63
25428,10121,7698,0,7,7957,3,2,32,27,2.0,2.0,0,5,5,52.37297,4.88339,7,0,3,1.0,1.0,1.0,29,125.0,14,180,0,0,0,4,58,5,2,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.15
27886,13892,12531,0,19,6452,1,49,2,75,1.0,1.0,2,5,5,52.387609999999995,4.8918800000000005,42,2,2,1.5,1.0,1.0,24,138.0,2,730,0,21,51,75,158,219,16,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,2.05
28871,5029,609,1,25,2095,4,2,93,0,2.0,2.0,2,5,5,52.36719,4.8909199999999995,27,2,2,1.0,1.0,1.0,15,75.0,2,1825,0,28,56,82,340,336,32,2,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,2.72
29051,5074,15555,0,25,2095,4,2,93,0,2.0,2.0,2,5,5,52.36773,4.89151,27,2,1,1.0,1.0,1.0,17,55.0,2,730,0,30,60,86,361,481,26,0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0,2,0,4.13
31080,344,666,0,29,78,4,2,0,28,1.0,1.0,2,21,21,52.35132,4.848380000000001,7,0,4,1.0,3.0,3.0,22,219.0,3,365,0,0,0,0,0,32,0,0,95.0,9.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.29
41125,1046,484,0,35,77,1,49,69,31,1.0,1.0,2,5,5,52.37891,4.88321,7,0,3,1.0,1.0,1.0,28,160.0,4,35,0,0,0,0,0,89,2,0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.74
43109,12568,876,0,40,6641,2,22,23,27,0.0,0.0,2,5,5,52.375370000000004,4.88932,7,0,4,1.0,2.0,4.0,10,211.0,3,30,0,0,0,0,0,60,60,0,98.0,10.0,7.0,9.0,10.0,10.0,9.0,1,1,0,0,5.03
44129,11001,17090,2,40,4526,2,22,57,31,10.0,10.0,2,5,5,52.38071,4.8861,7,0,3,1.5,1.0,1.0,34,115.0,7,1125,0,24,54,84,167,177,0,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,5,5,0,0,1.43
46386,6622,11474,1,48,924,1,49,98,17,1.0,1.0,2,8,8,52.352470000000004,4.90825,7,0,2,1.0,1.0,1.0,18,150.0,3,1825,0,0,0,0,0,3,0,0,93.0,10.0,9.0,9.0,9.0,8.0,8.0,1,1,0,0,0.02
47061,4451,470,0,49,3357,2,2,66,79,1.0,1.0,2,7,7,52.36799,4.87447,7,0,3,1.5,2.0,2.0,26,140.0,2,60,0,16,46,73,344,182,0,0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,1.48
49552,11778,12516,3,53,6101,3,2,93,27,1.0,1.0,2,5,5,52.38028,4.89089,15,0,3,1.0,2.0,2.0,40,154.0,2,1124,0,1,1,1,1,368,23,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,3.04
49790,10828,3204,0,54,8700,0,0,22,49,0.0,0.0,0,7,7,52.36266,4.86103,1,0,4,1.0,2.0,2.0,15,250.0,3,365,0,0,0,0,0,103,0,0,99.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.9
