id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
70820,384,141,1,3,237,3,1,61,3,5,5,1,33,33,51.43994,-2.59173,32,2,2,1.0,1.0,1.0,10,30.0,2,21,0,25,55,85,85,154,7,1,95.0,10.0,9.0,10.0,10.0,10.0,9.0,2,0,2,0,1.8
117122,381,743,0,5,397,3,1,24,3,1,1,1,8,8,51.450509999999994,-2.6105400000000003,16,2,4,2.5,1.0,1.0,31,66.0,1,28,0,30,60,90,365,143,3,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,1.26
176306,1427,216,1,8,344,2,21,48,3,2,2,1,2,2,51.44101,-2.60121,32,2,1,1.0,1.0,1.0,26,29.0,21,90,0,0,0,22,22,39,3,0,95.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0,1,0,0.4
307634,1035,424,0,17,464,3,24,1,3,2,2,0,11,11,51.466409999999996,-2.55533,32,2,2,1.5,1.0,1.0,27,30.0,7,1125,0,30,60,90,180,21,3,0,91.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0,2,0,0.51
322906,728,326,0,13,76,3,1,33,3,2,2,0,0,0,51.46668,-2.5827400000000003,26,2,3,1.0,1.0,2.0,6,69.0,2,14,0,28,58,88,88,80,0,0,94.0,9.0,9.0,10.0,10.0,9.0,9.0,2,0,2,0,0.9
341227,841,1247,0,1,550,2,1,56,3,4,4,1,0,0,51.466609999999996,-2.5870900000000003,10,0,14,3.0,5.0,9.0,30,336.0,2,90,0,0,0,0,0,79,15,0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.76
390781,524,209,0,23,300,4,19,54,3,1,1,0,6,6,51.44429,-2.55777,26,2,1,1.0,1.0,1.0,24,28.0,2,100,0,28,43,43,43,33,4,1,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0.32
399681,750,1350,0,22,407,3,1,34,3,2,2,1,32,32,51.49508,-2.61715,26,2,3,1.5,2.0,4.0,26,72.0,2,1125,0,24,54,84,84,59,5,2,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0.59
407485,295,64,0,24,131,2,1,36,3,1,1,1,0,0,51.469409999999996,-2.58166,3,0,5,1.0,1.0,3.0,37,93.0,2,1125,0,11,28,58,333,255,10,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,2.47
421205,1430,747,0,26,544,3,1,52,3,2,2,1,0,0,51.46547,-2.58458,16,2,2,1.0,1.0,2.0,28,26.0,1,1125,0,9,34,60,275,152,18,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,1.51
422956,970,40,0,27,181,3,1,63,3,2,2,1,24,24,51.47331,-2.6059799999999997,10,0,5,2.0,3.0,4.0,34,180.0,2,30,0,1,1,1,1,323,20,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2,2,0,0,3.12
554813,333,1033,0,31,511,1,34,40,3,1,1,1,22,22,51.455909999999996,-2.57803,16,2,2,1.0,1.0,1.0,32,43.0,1,40,0,0,0,23,113,190,29,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,1.88
753655,612,1459,0,40,502,3,24,43,3,2,2,1,26,26,51.44553,-2.60413,26,2,2,1.0,1.0,0.0,6,51.0,1,7,0,0,0,0,239,270,9,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,3,1,2,0,2.84
758894,911,213,1,43,279,4,1,1,3,1,1,1,8,8,51.45524,-2.62168,3,0,4,1.0,1.0,1.0,39,125.0,3,1124,0,13,42,70,345,385,38,3,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,3.98
868888,808,1249,0,48,350,4,1,45,3,2,2,1,12,12,51.47305,-2.54617,26,2,1,1.0,1.0,1.0,30,22.0,7,1125,0,0,1,24,299,9,2,0,95.0,10.0,9.0,10.0,10.0,8.0,10.0,2,0,2,0,0.29
870076,494,109,0,40,502,3,24,43,3,2,2,1,26,26,51.44593,-2.6030900000000003,26,2,1,,1.0,1.0,7,39.0,1,1125,0,0,0,0,239,159,7,0,93.0,10.0,10.0,10.0,10.0,10.0,9.0,3,1,2,0,1.7
897555,527,828,0,37,522,3,1,26,3,2,2,1,26,26,51.44161,-2.59864,26,2,1,0.0,1.0,1.0,13,28.0,2,7,0,2,32,62,337,146,7,0,92.0,10.0,9.0,10.0,10.0,10.0,10.0,2,0,2,0,1.55
942226,229,57,0,27,181,3,1,63,3,2,2,1,24,24,51.47513,-2.60474,0,0,5,2.0,2.0,4.0,33,120.0,2,7,0,21,39,58,331,232,26,2,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,2,0,0,2.61
979236,1553,414,0,13,76,3,1,33,3,2,2,0,0,0,51.46665,-2.58284,26,2,2,1.5,1.0,0.0,10,69.0,1,60,0,28,58,88,88,166,4,0,94.0,10.0,9.0,10.0,10.0,9.0,10.0,2,0,2,0,2.03
995235,415,1480,2,58,307,3,1,1,3,1,1,1,8,8,51.45308,-2.61544,32,2,2,1.0,1.0,2.0,26,46.0,1,1125,0,18,48,78,353,265,45,4,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,3.12
1033484,1452,37,0,61,417,3,1,35,3,2,2,0,0,0,51.46307,-2.5798200000000002,26,2,1,1.5,1.0,1.0,14,37.0,2,28,0,14,44,74,254,309,11,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,3.37
1096853,882,1484,0,4,127,4,1,63,3,4,4,1,11,11,51.46907,-2.56077,32,2,3,1.5,1.0,2.0,23,28.0,1,5,0,23,49,49,49,396,23,3,95.0,10.0,10.0,10.0,10.0,9.0,10.0,3,0,3,0,4.4
1096947,883,0,0,4,127,4,1,63,3,4,4,1,11,11,51.46922,-2.56105,32,2,2,1.5,1.0,1.0,21,27.0,1,5,0,23,49,51,51,352,18,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0,3,0,3.92
1166104,1073,1019,1,73,520,4,1,1,3,3,3,1,8,8,51.45169,-2.62087,32,2,2,1.0,1.0,2.0,40,35.0,3,365,0,0,0,0,0,73,6,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1,1,0,0.81
1180148,815,1139,0,74,332,3,21,1,3,1,1,0,21,21,51.438590000000005,-2.5653599999999996,26,2,2,1.0,2.0,2.0,23,40.0,1,1125,0,6,16,37,312,14,1,1,95.0,9.0,9.0,10.0,10.0,9.0,10.0,2,0,2,0,0.15
1182074,785,634,0,75,265,4,24,1,3,2,2,1,1,1,51.48503,-2.6724200000000002,26,2,2,1.0,1.0,1.0,40,25.0,1,1125,0,24,54,84,359,12,12,1,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,1.23
1258955,1212,63,0,37,522,3,1,26,3,2,2,1,26,26,51.4402,-2.5977200000000003,26,2,1,1.0,1.0,1.0,23,31.0,2,7,0,2,32,62,337,78,0,0,90.0,9.0,9.0,10.0,9.0,9.0,9.0,2,0,2,0,0.87
1260621,1087,1445,0,79,442,2,1,53,3,3,3,1,0,0,51.46465,-2.58947,32,2,2,1.0,1.0,1.0,22,29.0,1,1125,0,0,0,13,288,218,20,0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,2.6
1329265,639,160,1,84,68,2,13,20,3,1,1,1,22,22,51.45952,-2.5737900000000002,32,2,3,1.0,1.0,0.0,32,36.0,2,75,0,24,54,84,174,196,4,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,2.22
1457693,534,60,0,48,350,4,1,45,3,2,2,1,12,12,51.47371,-2.54602,26,2,1,1.0,1.0,1.0,18,20.0,20,1125,0,10,40,70,345,14,2,1,89.0,9.0,9.0,10.0,10.0,10.0,9.0,2,0,2,0,0.16
1509615,116,943,0,94,308,3,1,53,3,3,3,1,20,20,51.44786,-2.6023400000000003,26,2,2,2.0,1.0,1.0,23,50.0,1,1125,0,27,54,75,349,549,39,3,96.0,10.0,10.0,10.0,10.0,10.0,10.0,3,1,2,0,6.34
1623879,755,947,0,109,392,4,1,34,3,1,1,1,16,16,51.51255,-2.60012,26,2,1,1.0,1.0,1.0,8,22.0,3,31,0,27,56,84,359,130,7,1,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,1.51
1882491,591,1481,1,104,444,4,20,25,3,2,2,1,9,9,51.46629,-2.60756,16,2,2,1.0,1.0,1.0,12,23.0,2,1125,0,0,0,25,300,33,9,0,93.0,9.0,9.0,9.0,10.0,9.0,9.0,2,0,2,0,0.48
1906645,1346,1206,0,118,547,3,1,47,3,2,2,1,10,10,51.46669,-2.5968400000000003,3,0,2,1.0,1.0,1.0,29,100.0,2,3,0,6,28,58,58,39,5,1,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1,1,0,0.76
2164660,878,434,0,63,263,3,1,54,3,2,2,1,11,11,51.469879999999996,-2.56336,26,2,2,1.0,1.0,1.0,28,30.0,1,1125,0,0,9,32,122,181,12,0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,2,0,2,0,2.29
2235568,76,279,0,126,357,3,1,46,3,3,3,1,0,0,51.46774,-2.58777,26,2,2,1.0,1.0,1.0,29,32.0,2,30,0,17,42,64,154,256,22,5,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3,1,2,0,3.18
2404407,307,151,0,125,95,4,1,64,3,8,8,1,6,6,51.44337,-2.56794,11,0,4,1.0,2.0,2.0,40,141.0,1,90,0,0,1,12,12,89,13,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,6,6,0,0,1.11
2446524,91,1378,0,132,311,4,1,49,3,2,2,0,8,8,51.46097,-2.62344,16,2,2,1.0,1.0,,15,35.0,1,1125,0,0,0,23,298,16,0,0,86.0,9.0,8.0,10.0,10.0,10.0,9.0,2,0,2,0,0.42
2523293,99,1376,0,132,311,4,1,49,3,2,2,0,8,8,51.46098,-2.62405,16,2,1,1.0,1.0,1.0,29,32.0,1,1125,0,17,47,77,352,114,9,3,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,1.46
2530244,178,662,0,29,193,1,34,65,3,2,2,1,9,9,51.46739,-2.61508,3,0,2,1.0,1.0,1.0,11,60.0,1,5,0,23,53,83,83,14,0,0,85.0,10.0,8.0,10.0,10.0,10.0,8.0,2,1,1,0,0.18
2548956,757,703,0,136,235,4,1,59,3,3,3,1,25,25,51.50372,-2.5901400000000003,26,2,2,1.0,1.0,1.0,21,32.0,1,4,0,30,60,90,90,261,27,2,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,5.79
2655363,442,1167,1,40,502,3,24,43,3,2,2,1,26,26,51.4463,-2.6034599999999997,10,0,3,1.5,2.0,2.0,13,80.0,2,5,0,0,0,0,53,6,6,3,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3,1,2,0,1.82
2780689,452,651,0,63,263,3,1,54,3,2,2,1,11,11,51.470659999999995,-2.56357,26,2,1,1.0,1.0,1.0,24,25.0,1,1125,0,0,0,23,23,260,15,0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,2,0,2,0,3.3
2819807,1211,960,2,147,547,4,1,45,3,1,1,1,8,8,51.45851,-2.62321,16,2,1,1.0,1.0,1.0,12,29.0,2,10,0,24,54,84,84,299,22,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,3.82
3118604,1089,724,1,158,547,4,1,47,3,1,1,1,22,22,51.45221,-2.57869,3,0,2,1.0,1.0,1.0,39,76.0,1,1125,0,16,45,75,350,219,11,5,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,3.3
3365141,1084,967,1,93,102,4,1,39,3,1,1,1,0,0,51.46816,-2.58244,26,2,2,1.0,1.0,1.0,9,40.0,1,1125,0,24,54,84,359,330,26,3,92.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,4.27
3457246,1556,66,0,170,219,1,34,39,3,1,1,0,30,30,51.411640000000006,-2.55671,26,2,1,0.5,1.0,1.0,12,18.0,7,250,0,0,0,0,240,34,6,0,94.0,10.0,10.0,10.0,9.0,9.0,9.0,1,0,1,0,0.45
3468287,603,171,0,171,241,4,1,62,3,2,2,1,22,22,51.46052,-2.5662599999999998,26,2,1,1.0,1.0,1.0,33,18.0,90,1125,0,0,0,7,282,87,12,0,95.0,10.0,9.0,10.0,10.0,9.0,10.0,1,0,1,0,1.39
3490531,954,418,2,7,452,3,1,33,3,1,1,1,9,9,51.46692,-2.60854,26,2,1,1.0,1.0,1.0,33,44.0,3,1125,0,24,54,84,84,11,0,0,88.0,9.0,10.0,9.0,9.0,10.0,9.0,1,0,1,0,0.15
3490779,877,1,0,4,127,4,1,63,3,4,4,1,11,11,51.46796,-2.56088,32,2,2,1.5,1.0,1.0,23,29.0,1,5,0,23,49,49,49,295,32,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0,3,0,3.84
3545386,820,131,0,42,547,2,1,20,3,1,1,1,8,8,51.452259999999995,-2.6248400000000003,3,0,6,3.0,3.0,3.0,33,350.0,2,1125,0,1,10,40,313,17,1,0,99.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1,0,0,0.4
3620755,873,1175,0,177,309,2,1,1,3,1,1,1,20,20,51.45292,-2.60446,3,0,2,1.0,1.0,1.0,20,73.0,2,1125,0,0,0,0,238,355,18,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,4.68
3635586,269,351,3,178,547,3,16,48,3,1,1,1,9,9,51.46653,-2.61032,3,0,2,1.0,1.0,1.0,26,89.0,4,90,0,0,25,55,55,72,6,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.97
3879902,1450,157,0,61,417,3,1,35,3,2,2,0,22,22,51.46306,-2.57796,26,2,2,1.5,2.0,2.0,4,46.0,2,28,0,27,57,87,362,135,6,0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0,2,0,1.79
3906876,914,1082,0,191,185,2,14,23,3,1,1,1,20,20,51.44923,-2.60908,3,0,4,2.5,2.0,0.0,18,232.0,2,28,0,30,60,90,365,38,5,1,95.0,9.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.52
3960179,647,502,0,192,549,2,1,5,3,3,3,1,1,1,51.496990000000004,-2.6466,10,0,5,1.5,3.0,4.0,38,130.0,2,124,0,23,53,83,358,1,0,0,,,,,,,,2,2,0,0,0.02
4086139,189,172,1,200,325,4,1,64,3,1,1,1,10,10,51.46225,-2.59804,32,2,2,1.0,1.0,1.0,25,50.0,2,1125,0,3,10,40,40,609,45,2,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,8.17
4130880,517,1053,1,201,160,4,1,1,3,2,2,1,26,26,51.44062,-2.60893,26,2,1,1.5,1.0,1.0,48,32.0,28,100,0,0,12,42,312,220,0,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,3.22
4207614,1139,800,0,90,96,4,1,34,3,1,1,1,26,26,51.44538,-2.5927599999999997,16,2,2,1.0,1.0,1.0,20,43.0,2,60,0,29,59,89,89,161,8,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,2.84
4315598,115,944,2,94,308,3,1,53,3,3,3,1,20,20,51.44695,-2.6032,26,2,2,2.0,1.0,1.0,19,50.0,1,1125,0,27,55,76,350,328,40,2,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3,1,2,0,4.47
4466441,97,1059,0,114,456,4,1,37,3,1,1,1,12,12,51.479240000000004,-2.5467299999999997,18,2,1,1.0,1.0,1.0,12,25.0,1,1125,0,0,22,45,45,89,3,1,95.0,10.0,9.0,10.0,10.0,9.0,10.0,1,0,1,0,1.25
4521395,1453,313,0,215,424,4,1,1,3,1,1,0,5,5,51.45166,-2.54502,3,0,2,1.0,,1.0,21,51.0,2,28,0,4,34,64,339,110,3,2,91.0,10.0,9.0,10.0,10.0,9.0,9.0,1,1,0,0,1.57
4542428,444,692,0,218,201,1,34,0,3,1,1,1,19,19,51.48854,-2.5853,28,2,1,1.0,1.0,1.0,16,35.0,1,5,0,0,0,22,297,42,0,0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0,1,0,0.58
4543852,487,927,0,218,441,3,30,48,3,2,2,1,12,12,51.476820000000004,-2.55623,9,0,3,1.5,1.0,1.0,30,50.0,2,1125,0,16,46,76,76,403,14,2,95.0,10.0,9.0,10.0,10.0,10.0,9.0,2,2,0,0,5.56
4570407,1060,962,0,53,120,3,1,37,3,1,1,1,0,0,51.4605,-2.58592,16,2,1,1.5,1.0,1.0,29,55.0,7,30,0,22,52,82,172,31,4,0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,1,0,0.48
4592103,904,1049,0,219,547,2,23,58,3,2,2,1,19,19,51.4911,-2.58351,3,0,6,1.0,2.0,3.0,25,119.0,2,120,0,28,58,88,357,94,6,1,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,1.31
5027387,678,710,1,224,547,4,1,20,3,1,1,1,31,31,51.47473,-2.6257099999999998,3,0,4,2.5,2.0,2.0,38,132.0,2,365,0,0,0,17,292,98,1,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,1.4
5142750,390,18,0,234,547,0,0,65,3,1,1,1,7,7,51.45513,-2.58535,3,0,2,1.0,1.0,1.0,9,100.0,2,5,0,28,58,88,178,0,0,0,,,,,,,,1,1,0,0,
5267860,330,1251,1,241,264,3,1,63,3,1,1,1,24,24,51.4697,-2.59458,3,0,2,1.0,1.0,1.0,29,70.0,1,1125,0,0,17,38,313,129,27,1,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,2.5
5295347,711,257,1,185,282,4,1,1,3,1,1,1,9,9,51.45888,-2.61033,3,0,2,1.0,1.0,1.0,29,76.0,3,1125,0,4,34,56,196,346,18,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,5.06
5393069,1461,284,0,248,547,4,1,1,3,3,3,1,9,9,51.4583,-2.60922,3,0,4,1.0,2.0,2.0,18,76.0,2,1125,0,22,52,82,357,311,44,4,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3,3,0,0,4.66
5441708,482,442,0,249,547,3,1,43,3,2,2,1,26,26,51.443290000000005,-2.60839,26,2,1,2.5,1.0,1.0,10,29.0,2,1125,0,0,24,54,54,64,3,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,0.93
5503904,434,276,0,249,547,3,1,43,3,2,2,1,26,26,51.44121,-2.60879,26,2,1,2.5,1.0,0.0,11,29.0,2,1125,0,0,24,54,54,61,13,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,0.91
5566863,658,915,0,227,507,3,1,0,3,1,1,1,24,24,51.47278,-2.59713,10,0,8,3.0,5.0,6.0,23,120.0,2,18,0,0,0,22,297,13,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.23
5613882,1558,1475,0,122,29,3,1,16,3,6,6,1,10,10,51.471579999999996,-2.6111,17,2,2,1.5,2.0,1.0,12,60.0,1,1125,0,28,58,88,88,48,6,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3,1,2,0,0.92
5649344,597,554,0,256,547,2,13,12,3,2,2,1,21,21,51.43865,-2.57297,26,2,2,1.0,1.0,1.0,14,55.0,2,7,0,27,57,87,87,25,4,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0.79
5752786,219,364,2,258,419,4,26,64,3,6,6,1,24,24,51.47619,-2.59096,32,2,2,1.0,1.0,1.0,18,36.0,1,7,0,19,28,48,283,207,21,1,95.0,10.0,10.0,10.0,10.0,10.0,10.0,4,2,2,0,3.09
5890872,1062,432,0,228,547,4,1,1,3,1,1,1,33,33,51.43808,-2.5947299999999998,3,0,2,1.0,1.0,0.0,29,54.0,2,60,0,1,21,44,310,256,19,5,92.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1,0,0,3.8
5984540,1476,1362,1,140,504,4,1,39,3,2,2,1,33,33,51.43848,-2.58816,26,2,2,1.0,1.0,1.0,16,39.0,2,300,0,22,52,82,82,263,22,4,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,4.04
6102243,909,917,0,150,525,3,19,1,3,3,3,1,2,2,51.43723,-2.60298,6,0,4,2.0,2.0,2.0,27,120.0,90,1125,0,28,58,88,363,116,7,0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,1.76
6127021,799,690,2,138,481,3,1,34,3,2,2,1,7,7,51.4624,-2.60707,26,2,1,1.5,1.0,1.0,31,30.0,5,1125,0,0,9,39,129,32,1,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0,3,0,0.49
6307289,809,719,0,49,327,1,34,65,3,1,1,1,24,24,51.47087,-2.59366,16,2,1,1.0,1.0,1.0,16,42.0,45,1125,0,23,53,83,83,9,0,0,93.0,10.0,9.0,10.0,10.0,9.0,9.0,1,0,1,0,0.14
6347144,1301,1069,0,125,95,4,1,64,3,8,8,1,6,6,51.443540000000006,-2.56833,11,0,2,1.5,1.0,1.0,34,93.0,1,90,0,15,45,73,73,111,18,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,6,6,0,0,1.68
6362232,28,1401,1,201,160,4,1,1,3,2,2,1,26,26,51.44166,-2.6081,26,2,4,1.0,1.0,2.0,48,47.0,1,100,0,19,45,74,314,529,68,1,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,8.12
6376019,599,963,1,53,10,4,1,54,3,2,2,1,0,0,51.46378,-2.58375,16,2,2,1.0,1.0,1.0,29,35.0,2,1125,0,0,0,0,208,34,4,0,88.0,9.0,8.0,9.0,10.0,9.0,9.0,1,0,1,0,0.51
6388411,386,29,0,34,552,3,1,47,3,1,1,1,22,22,51.45715,-2.5826599999999997,3,0,4,1.0,2.0,2.0,22,95.0,1,1125,0,8,38,68,343,210,6,1,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,3.2
6406525,47,655,1,141,547,4,1,35,3,2,2,1,24,24,51.47295,-2.5931,14,0,6,2.0,3.0,4.0,21,250.0,5,300,0,0,0,0,207,18,1,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1,1,0,0.28
6524307,377,1044,0,271,223,4,1,50,3,0,0,1,7,7,51.45446,-2.59576,3,0,3,1.0,1.0,2.0,15,66.0,3,100,0,8,8,8,8,35,13,2,90.0,9.0,9.0,10.0,10.0,10.0,8.0,1,1,0,0,0.53
6568875,1226,700,3,199,183,4,1,1,3,3,3,1,8,8,51.45017,-2.62164,3,0,4,1.0,2.0,2.0,27,73.0,10,1124,0,9,39,69,341,134,10,1,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2,2,0,0,2.04
6613273,1533,464,0,283,426,3,16,6,3,2,2,1,1,1,51.49545,-2.64907,10,0,5,1.5,3.0,4.0,41,139.0,3,365,0,30,60,90,365,5,1,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.08
6654903,388,716,2,281,406,4,1,52,3,1,1,1,20,20,51.44693,-2.60373,26,2,2,1.0,1.0,1.0,24,59.0,2,4,0,27,57,87,87,66,22,1,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,3.17
6668238,1310,913,0,57,521,3,24,31,3,3,3,1,24,24,51.47462,-2.59718,10,0,10,2.5,5.0,5.0,29,346.0,2,1125,0,27,52,73,342,62,1,0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,3,2,1,0,0.97
6818070,22,1051,1,259,547,1,34,0,3,1,1,1,0,0,51.470040000000004,-2.5815,3,0,5,1.0,2.0,2.0,15,114.0,1,1125,0,0,0,0,266,64,0,0,85.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,1.02
6874942,697,975,2,130,547,4,1,1,3,1,1,1,9,9,51.46635,-2.61155,3,0,2,1.0,1.0,1.0,28,83.0,2,1125,0,11,30,53,314,337,54,7,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,5.17
7059500,1321,604,1,258,419,4,26,64,3,6,6,1,7,7,51.462709999999994,-2.59056,3,0,4,1.0,2.0,2.0,25,73.0,2,1125,0,24,52,75,350,146,17,0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,4,2,2,0,2.32
